"","id","yyyy-mm-dd","nAudio","nVideo","nGps","sizeText","sizeBytes"
"1",1,"2021-05-05",1,3,1,"6.4G","6762472"
"2",2,"2021-05-07",1,4,1,"8.2G","8619792"
"3",3,"2021-05-08",1,3,1,"8.3G","8713668"
"4",4,"2021-05-09",1,4,1," 11G","11082744"
"5",5,"2021-05-11",3,4,1,"9.3G","177528"
"6",6,"2021-05-12",0,7,1,"7.8G","8189280"
"7",7,"2021-05-14",0,5,0,"9.9G","10373696"
"8",8,"2021-05-15",11,5,1," 12G","12232560"
"9",9,"2021-05-16",6,6,1," 10G","10676408"
"10",10,"2021-05-17",3,4,0,"6.9G","7195296"
"11",11,"2021-05-18",5,2,0,"2.9G","2988968"
"12",12,"2021-05-22",7,6,0," 11G","11345628"
"13",13,"2021-05-23",3,5,0," 11G","11413972"
"14",14,"2021-05-24",3,4,1,"4.8G","5077432"
"15",15,"2021-05-28",3,3,1,"3.8G","4002576"
"16",16,"2021-05-29",2,2,1,"3.0G","3194452"
"17",17,"2021-05-31",6,4,0,"7.5G","7815708"
"18",18,"2021-06-01",3,3,0,"1.7G","1820668"
"19",19,"2021-06-03",3,4,0,"8.2G","8617180"
"20",20,"2021-06-04",3,2,0,"3.1G","3269616"
"21",21,"2021-06-05",0,2,0,"6.5G","6788408"
"22",22,"2021-06-06",5,7,0," 10G","10707892"
"23",23,"2021-06-08",3,3,0,"8.7G","9092584"
"24",24,"2021-06-09",3,4,0,"7.4G","7771392"
"25",25,"2021-06-11",2,2,0,"3.8G","3962280"
"26",26,"2021-06-12",1,3,0,"6.8G","7124508"
"27",27,"2021-06-13",3,4,0,"7.6G","7920632"
"28",28,"2021-06-20",3,3,0,"5.4G","5669908"
"29",29,"2021-06-22",3,3,0,"4.6G","4805996"
"30",30,"2021-06-23",3,3,0,"3.9G","4099288"
"31",31,"2021-06-25",3,4,1,"3.3G","3498756"
"32",32,"2021-06-27",3,4,1,"7.8G","8178524"
"33",33,"2021-06-29",2,4,1,"5.8G","6060856"
"34",34,"2021-07-01",4,6,0,"8.4G","8795216"
"35",35,"2021-07-02",2,4,0,"5.1G","5326736"
"36",36,"2021-07-03",1,1,0,"2.5G","2587464"
"37",37,"2021-07-04",5,3,0,"6.0G","1778564"
"38",38,"2021-07-05",3,5,0," 13G","13598236"
"39",39,"2021-07-06",5,4,1,"4.4G","4614452"
"40",40,"2021-07-09",3,4,0,"9.3G","3454700"
"41",41,"2021-07-10",3,3,1,"4.1G","4336912"
"42",42,"2021-07-11",2,4,0,"4.6G","4790732"
